sentence,target,gold,ls_dropout
"During the siege , George Robertson had appointed Shuja-ul-Mulk , who was a bright boy only 12 years old and the youngest surviving son of Aman-ul-Mulk , as the ruler of Chitral .",bright,intelligent;clever;smart,young;brave;pretty;brilliant;sharp;handsome;smart;mere;bright;good
"The actual field is not much different than that of a 40mm , only it is smaller and quite a bit noticeably brighter , which is probably the main benefit .",brighter,luminous;well-lit;clear;light,bright;lighter;sharper;clearer;darker;thinner;smaller;warmer;thicker;narrower
"The roses have grown out of control , wild and carefree , their bright blooming faces turned to bathe in the early autumn sun .",bright,colourful;brilliant;gleam;luminous,white;gorgeous;sweet;early;lovely;newly;red;pink;yellow;delicate
He was bright and independent and proud .,bright,intelligent;clever,smart;young;bold;independent;friendly;kind;sharp;big;pretty;spoiled
"In fact , during at least six distinct periods in Army history since World War I , lack of trust and confidence in senior leaders caused the so-called best and brightest to leave the Army in droves .",brightest,intelligent;clever;most;capable;promising;sharp;motivated,worst;best;finest;greatest;mighty;daring;smartest;allies;heroes;true
"An evening of classical symphonic music , played by the next generation stars in the American orchestral scene , can be savored at the New World Symphony , a special Miami institution that nurtures the best and brightest young symphonic musicians .",brightest,talented;up-and-coming;gifted;promising;most;skilled,best;youngest;promising;latest;worst;new;newest;greatest;hottest;emerging
"There are sound reasons for concluding that the long-run picture remains bright , and even recent signals about the current course of the economy have turned from unremittingly negative through the late fall of last year to a far more mixed set of signals recently .",bright,positive;promising;good;optimisitc;hopeful,bleak;unclear;murky;uncertain;positive;weak;mixed;fragile;poor;gloomy
Snow covered areas appear bright blue in the image which was taken in early spring and shows deep snow cover .,bright,shining;deep;vivid;luminous;vibrant,pale;deep;light;solid;dark;quite;brighter;mostly;uniformly;brightly
"She turns eyes bright with excitement towards Fiona , still tugging on the string of the minitiature airship-cum-dance card she has just received at the door .",bright,shining;alight,wide;pink;ful;blinking;full;lit;sharp;shiny;widening;round
A short excerpt : I was praying in private until someone got the bright idea of starting a Presidential Prayer Team .,bright,smart;intelligent;brilliant;great;clever,good;big;first;fat;right;new;wrong;bad;proper;white
"So , unlike studio films , independent films cannot be conceptually geared to a marketing campaign , or used to recruit merchandising tie-ins .",films,movie;picture;production,film;movies;filmmakers;docs;features;productions;releases;deals;projects;credits
The packed screening of about 100 high-level press people loved the film as well .,film,movie;picture,movie;films;clip;documentary;story;material;screen;set;short;scene
I think most filmmakers for the most part right now they’re thinking about the DVD when they go in to production because the reality is DVD is where the great majority of your audience is going to experience the film .,film,movie;picture,movie;films;magic;feature;genre;cinema;movies;content;flick;first
Dune makes the second Lynch film to be released in a consumer HD format ( Mulholland Drive on D-VHS being the first ) .,film,movie;picture,movie;roll;version;release;film;DVD;disc;documentary;R;cut
"Film Music Literature Cyberplace - Includes film reviews , message boards , chat room , and images from various films .",film,movie;picture,",;films;director;ir;cinema;audio;video;movie;music;un"
His feature film debut HEROES / DE STÃRSTE HELTE ( 1996 ) won awards at Rouen and Madrid .,film,movie;picture,film;min;documentary;theatrical;horror;feature;drama;cinema;movie;web
"( Some people keep their TVs on for company. ) In Malta , news is the main reason we turn to TV , followed by films , talk shows , documentaries , serials , and music , in that order .",films,movie;picture,movies;documentaries;docs;news;CNN;sports;film;books;newspapers;magazines
"The film shows Afghan mercenaries to be involved with the separatists , suggesting that the present struggle in Kashmir has been hijacked by foreign extremists , who are shown discussing the loss of Bangladesh in the 1971 war , providing it as a justification for their present acts of revenge .",film,documentary;movie;picture,documentary;films;evidence;case;tape;footage;video;also;film;programme
A fine score by George Fenton ( THE CRUCIBLE ) and beautiful photograhy by Roger Pratt add greatly to the effectiveness of the film .,film,movie;picture,movie;score;story;films;instrument;programme;feature;piece;sound;music
"The success of Autry ' s early films was not enough to save Mascot Pictures , which collapsed under the weight of debts held by Consolidated Film Laboratories , which did Mascot 's film processing .",films,movie;picture;production,movies;film;efforts;business;releases;successes;acquisitions;venture;filmmaking;pictures
That 's not to say the process of actual negotiating is n't taking place .,taking,happen;occur,.;p;I
""" Hugh Grant and Alan Rickman , as Edward and Col. Brandon respectively , took the most chances and the various reviewers therefore either love or hate their performances .",took,experiment;risk,taking;taken;take;ran;made;takes;ook;get;draw;got
It should n't take that long .,take,last;be;engage,take;took;go;Take;taking;last;takes;seem;quite;taken
"It only affects the start up time of a program , and for a process that takes several months ( his code was computing the 196 Palindrome Quest ) , it does not matter if the initialization code takes 1/1,000th of a second or 1/10,000th of a second .",takes,last;occupy,took;take;requires;waited;taken;lasts;lasted;spent;ran;runs
"If we take the factual context in which the term is used into consideration , then its extension becomes limited , owing to the context .",take,consider;accept;include;think,took;takes;taking;see;assume;put;accept;taken;Take;consider
"If you do n't take the risk of dying by driving to the store , your house could collapse on you and kill you anyway .",take,tolerate;run;undergo;accept;risk,took;taking;Take;taken;want;take;run;te;accept;ake
"The Governor took the big sheets of imitation parchment , glanced over them , signed his name to each , laid down the pen , and handed the papers across the table to Dreier .",took,pick;gather;collect;get;grasp,take;taken;wrote;takes;read;handed;collected;ook;grabbed;pulled
"O'Neill and the two men who worked under his supervision maintained the avenue , raking the thin gravel and removing any weed that tried to take root in the stony earth .",take,grow;establish,took;taken;dig;taking;takes;set;seek;retake;Take;assume
"Even if the Anglo-French Summit did not take place until next year , the Prime Minister and President Chirac were still due to see each other in November and December .",take,occur;happen,took;takes;taken;taking;place;take;occur;Take;conven;actually
"40 Day-to-day financial and operational management is the responsibility of the Chief Officer , who took up her post in June 2001 .",took,assume;begin;start,takes;taking;take;taken;picked;KE;ook;te;Taking;She
"Anyway , my pants are getting tight .",tight,constricting;small;too;uncomfortable;constricted;close-fitting,tighter;weird;Short;longer;bigger;old;shorter;w;cute;thin
"With the physical market has tight as it has been in memory , silver could fly at any time .",tight,high-strung;low;pressurised;constricted,tightened;closed;rallied;peaked;compressed;done;stabilized;faded;strengthened;grown
"More ... Specialty coffee market quiet , supplies tight Posted at 2:57 PM by Robert Badgett By Bruce Kamich NEW YORK , June 6 ( Reuters ) - Specialty coffee dealers said on Friday that business was unusually quiet with most retailers ' sales numbers down from a year ago , but prices for choice beans remained firm with supplies short until the next crops become available .",tight,scarce;sparse;constricted;not,short;firm;j;stal;tightening;tighter;stock;soft;plentiful;tighten
If your money is tight do n't cut corners .,tight,scarce;close;constricted;not,tight;spent;scarce;cheap;tighter;strict;close;slim;thin;short
"Each child lies inside an Isolette incubator , a clear acrylic rectangle with ample room for a half-sized premature baby , though the quarters become tight for the full-term eight-pounders .",tight,close-fitting;too;constricted;restricted;cramped,tighter;cramped;narrow;narrower;short;strict;stretched;thick;scant;squeezed
""" It can be intimidating at first , because they wrap their arms pretty tight around you , and everything they latch onto is pretty much headed straight to their mouth , "" Schmitz said .",tight,closely;close;firmly,tightly;firmly;much;close;thick;tighter;snug;wrapped;securely;shut
The incisions will feel tight for the first 24-48 hours .,tight,compressed;uncomfortable;constricted;stretched,painful;good;fine;hot;pain;closed;sharp;shut;sore;smooth
"Except for the soldiers , Goth was locked up tight .",tight,secure;securely;firmly,"!;,;:;.;I;In"
Nathan Robins : Did well to keep tight on the Left winger and was harshly judged by the referee on several occasions to have fouled the opposing player when I felt he just out muscled him .,tight,close;on;close;close;near,close;tabs;tape;pressure;score;vigil;control;tighter;watch;tightly
I know that the market is tight right now .,tight,close;pressured;low;constricted;restricted,In;How;Not;I;.
That 's not a very high bar .,bar,marker;level;barrier;pole;obstruction;hurdle,bar;standard;quality;ab;course;drink;class;cut;ale;ABV
"This more upright position is most easily and affordably achieved through slapping a riser bar on your setup , and only requires you to buy a bar instead of a bar and stem .",bar,handlebar,bar;bars;cord;stem;rack;tool;cap;bit;clamp;head
For twelve hours Livewire will be broadcasting live from the blue bar of Union House at UEA in an attempt to raise as much money as possible for a very worthy cause .,bar,pub;drinking;hostelry;saloon,bars;lawn;room;hall;bell;stage;walls;dome;chapel;aisle
"The British government imposed a colour bar in its colonies , so young blacks went in only for law or medicine where they could make a living without government support .",bar,restriction;ban;exclusion;prohibition,ban;law;limit;bars;curfew;restriction;code;test;cap;tax
Put granola bars in bowl .,bars,snack;biscuit;slab;block,bar;Crunch;cheese;tabs;sticks;Butter;Dough;bananas;strips;eggs
It 's been a criticism of IE 's scrollbar CSS and also stands for the status bar .,bar,banner;indicator;menu,bar;tab;ap;pad;pane;bars;border;key;trim;tabs
"2 ) Straddling the center bar , your child should be able to keep both feet flat on the ground with about a 1-inch clearance between the crotch and the bar .",bar,pole;apparatus;metal;crossbar;rod,"bar;,;band;arm;table;bars;weight;post;back;pad"
"Seventy-five percent of my clientele that comes in there , they are just like a person on a Friday afternoon going into a bar , and he sits at the counter , and the bartender knows what he wants to drink .",bar,prevent;obstruct;block;exclude,pub;drink;restaurant;bars;.;house;bar;club;kitchen;tavern
"The night is long at the numerous other discos and clubs , but for those seeking something more sedate there are quieter , sophisticated bars in the hotels .",bars,pub;saloon,bar;options;drinks;tabs;venues;nights;specials;beers;spirits;spots
Abstract : Analysis of contact between two chromosomal races of house mice in northern Italy show that natural selection will produce alleles that bar interracial matings if the resulting offspring are unfit hybrids .,bar,lounge;pub;drinking,prevent;preclude;enable;facilitate;allow;support;permit;promote;cause;avoid
"When Time magazine 's cover portrays millennium nuts as deranged , crazy Christians holding a cross as it did last month , boycott their magazine and the products it advertises .",cross,crucifix,crosses;nut;crucifix;pipe;knife;gun;skull;ah;small;Jesus
"Four-Set in a cross , the points meeting in water surrounded by luminous crescents .",cross,crucifix;x;two,circle;ux;glass;distance;ik;ave;pan;line;al;light
It was designed in the form of a cross with a cast iron sword placed where the cross members join .,cross,crucifix;x;two,sword;crucifix;shield;forearm;hand;crossed;stake;neck;slash;dagger
"Triticale , a cross between wheat and rye , matures later than rye but earlier than wheat .",cross,hybrid;hybrid;mixture,difference;crossing;transitional;crosses;cross;intermediate;crossed;spread;mix;work
"Old Nick got tired of cussing , was humiliated at being sat on , and hurting like the torments of Hell for being so close to the cross .",cross,crucifix,altar;crosses;face;crucifix;priest;head;table;neck;keyboard;chair
By 1924 he managed to transmit across a few feet the flickering image of a Maltese cross and on 26th January 1926 he gave the world 's first demonstration of true television in his attic workshop before some fifty scientists .,cross,crucifix,torch;crossing;crossed;pan;cake;razor;box;shot;crucifix;crosses
He appeared to his apostles and spoke to them about God 's kingdom. ' Acts 1:3 Jesus took the consequences of our self-centredness by giving up his life on the cross .,cross,crucifix,crucifix;crossing;sword;altar;crosses;stake;vine;throne;table;ground
"If power cycling occurs , care must be taken to account for the "" dead time "" between shutdown and power up when the latchup cross section is evaluated .",cross,right;transverse;sequence;segment,power;/;switch;line;cross;work;code;gap;x;lock
""" Mixed race people represent a diverse cross section of racial , ethnic , and cultural heritages , with many multiracial individuals identifying with multiple communities , "" the organizations stated .",cross,representative;mixture;sample;typical,ethnic;line;age;food;stream;range;across;demographic;crossing;broad
"I can only judge keyboards by going into somewhere like PC World and physically trying them , and I do not want to go into somewhere like PC World , as I do not want to get cross .",cross,angry;annoyed;irate;irritated,crossed;across;lost;crosses;hit;stuck;scared;confused;I;.
"Mr. Hall 's old factory is still on Oklahoma Avenue , but the metal fabrication plant where Mr. Larson worked finally closed last year after withering for decades .",finally,eventually;ultimately;at,Larson;mysteriously;quietly;abruptly;suddenly;reportedly;unexpectedly;Smith;formally;definitively
"Finally , this new rule will also have the effect of encouraging existing corporations to produce safer products , in keeping with the public policy goals that underlie product liability law generally. [ Fn .",Finally,lastly;in,"and;];:;,;.;...;I"
"However , this easy clearing method has muddled the issue quite a bit , since now Explorer is not actually being cleared at all , while Gecko browsers have finally been corrected so they do clear all previous floats .",finally,at;at;eventually,also;since;recently;mostly;generally;already;hopefully;supposedly;seemingly;basically
"Finally , Adam sees the ID card being used as an authenticator because it might be declared “trustworthy ; .",Finally,lastly;to;in;eventually,"and;;;,;But;.;Also;The;A;:;In"
"He said ,  OK , first , I d like to have a face like Clark Gable , then , I d like a build like Arnold Schwarzenegger , and finally , I d like sexual equipment like this here horse I m riding .",finally,lastly;also,",;maybe;last;eventually;third;next;first;also;Finally;later"
"Finally , I interviewed Eric Howes , a noted spyware researcher at the University of Illinois , who has found that today s most popular anti-spyware software packages are far less effective than many believe ( see sidebar , below ) .",Finally,lastly;at;eventually,",;By;A;Today;Last;Next;Previously;In;.;Earlier"
"However , you will get those NSF fees reimbursed by the bank as well - it will just come when they finally process everything together .",finally,eventually;at,eventually;final;actually;finish;ultimately;jointly;fully;dont;get;collectively
"Finally , the Army has conducted range characterization activities regarding the potential for contamination from munitions residues at 17 ranges throughout the United States , assessing the different types of ranges used by the Army .",Finally,lastly;at;eventually,",;Army;e;by;From;By;The;In;.;I"
"Finally , it is outlined how a mesoscopic theory should be constructed for a particular scanning tunneling microscopy experiment in order to overcome the failure of a corresponding reactiondiffusion model to quantitatively reproduce the experiments .",Finally,lastly;last;in,Here;Now;So;Thus;In;However;For;But;Next;And
"Finally , the proposed disposal rule would apply to transfer agents registered with the Commission .",Finally,lastly,"By;and;The;To;at;,;A;:;e;."
Up to sixty percent of the fatty acid content in the grasses on the plains contain omega-3 and are found in abundance in buffalo allowed to graze on the natural grasses .,found,discover;evident;present;exist;detect,find;seen;found;located;high;also;included;detected;noted;discovered
If you find yourself caught up in negative thoughts and find that you suddenly expect the worst it will be impossible to perform at your peak .,find,realise;discover;feel,catch;get;feel;finds;found;discover;see;manifest;sense;meet
"Search Customer Reviews 9 of 10 people found the following review helpful : Early feminist literature - memorable , November 21 , 2000 Reviewer : M. J. Smith ( Seattle , WA USA ) - See all my reviews This book consists of a gem of a story and a mediocre afterward .",found,believe;discover;think;felt,find;liked;gave;left;posted;leave;rated;Rate;wrote;read
Well they have a friend named Morgan and Morgan told them to find an object that he wants .,find,look;locate;discover;seek,found;get;find;pick;finding;locate;Find;seek;discover;make
"Consistent with previous findings , lack of congruence was found to be a precursor of intrusiveness .",found,discover;show;recognised;believe;see,shown;suspected;find;proved;reported;proven;suggested;found;noted;likely
"nokia mobile phone cases , motorola cell phone cases , motorola cell phone case , body glove cell phone case I think the best place where you can find CELL PHONE CARRYING CASE is eBay .",find,get;locate;discover;buy,locate;Google;obtain;get;make;buy;use;download;found;see
"Oh , and as far as the Kool-Aid jokes , find your own material .",find,get;discover;look;invent;locate;write;obtain,find;make;finding;found;write;Try;for;and;create;making
"But much that we once accepted as inevitable , we now find absolutely intolerable .",find,consider;perceive;see;believe;think;feel;realise,consider;deem;found;see;hold;regard;finding;know;count;accept
SpeedUpMyPC automatically finds the best settings for your PC and carefully controls your system resources to give you the best performance .,finds,discover;locate;determine;ascertail;calculate,determines;picks;makes;provides;make;decides;chooses;learns;find;gets
"If Bessler had indeed discovered some mechanical way of creating perpetual motion , perhaps the only way it is explainable is if he had found a way of extracting the energy from this Aether .",found,discover,discovered;devised;developed;fashioned;figured;uncovered;unearthed;invented;dug;learned
The Transcendental Meditation people advertised this :  Meditation can fix many sicknesses .,fix,cure;heal,solve;cure;answer;heal;change;fixes;explain;repair;hide;fix
"Now , I m not sure how I went from missing two weeks to six , but intend to fix that as I go .",fix,mend;correct;compensate;sort;make;repair,fixing;change;improve;update;solve;patch;fixed;rect;see;remedy
"  I feel I can get a lot more done as a selectman by being innovative and fixing the problems we have with cash flows , because they occur every year .",fixing,resolve;solve;mend;repair,solving;resolving;fix;addressing;solve;resolve;reducing;fixed;resolution;avoiding
Getting back to the day when doctors looked at the whole person .and did not expect a pill to fix the mind .,fix,cure;heal;mend,change;read;solve;beat;fix;changed;cure;repair;heal;open
"And thanks to our users , we now have around 30 engines in the database ... New features : - Better layout - Better copy - Small bugs fixed Bugs : - ie hell + much more Posted by eric at 05:24 PM | Comments ( 3 ) Investment News As part of the new international expansion strategy 24hdc.com now accepts USD for investments .",fixed,repair;correct;cure;resolve;patch,":;,;/;.;n;fixes"
"Er , tilty. by anna at July 17 , 2003 03:37 PM yeah , in our case , whoever did the foundation fucked up royally. when the house settled , it was fubar. should be pretty easy to fix though...just a matter of getting the pilings set to the right heights. by JC at July 17 , 2003 06:32 PM add a comment Name : Email Address : URL : Remember personal info ?",fix,repair;correct;mend;put;sort,repair;mend;solve;change;patch;fixed;correct;resolve;make;fixing
I guess I ll be able to hit the hot button many times as I m always at the dealer getting my car fixed .,fixed,mend;repair,repaired;fix;inspected;fixing;ready;delivered;corrected;tuned;sorted;done
The long-term problem with Social Security after 2042 could be totally fixed by raising the cap on income to a level needed to generate sufficient income to enable the system to continue to pay 100 percent indefinitely .,fixed,mend;resolve;correct;solve,fix;resolved;solved;solve;addressed;Fix;avoided;repaired;eliminated;overcome
The only way to fix this is for linux to get enough market share to be able to make demands for hardware support. [ reply ] [ top ] [ Â » ] Releasing specs is the only answer. by The Nose Who Knows - Feb 26th 2001 04:29:40 gt; The other reason why vendors do nt support linux gt; most of the time for commidity hardware such as gt; webcam is low returns on investments .,fix,correct;solve;improve;mend;do;resolve,solve;change;address;combat;remedy;avoid;overcome;answer;resolve;fixing
"But if no prayers can alter your purpose , dear one , husband , if you are so fixed on going , take me with you , also !",fixed,set;intent;stick;determine,keen;set;intent;sure;concentrated;dependent;resolved;bent;minded;planning
"Suddenly there was a scattering of fire , which three outfielders caught the brunt ; the centerfield was hit and was captured , left and right field managed to get back to our lines .",managed,succeed;be;endeavour,manage;ers;manages;managing;got;failed;managed;men;scrambled;aged
 C158 ( cf ex R145 )  The Provincial in Councilor the Superior ofthe Delegation in Councilsets the financial competency of local Superiorsand their Councilsand determines which assets can be managed by individualOblates and by local Superiors and their Councils .,managed,direct;handle;organise;oversee;control,manage;controlled;managed;sold;management;acquired;manager;used;owned;governed
"BUSINESS DEVELOPMENT MANAGER STRATEGIC ALLIANCES This individual will be responsible for coordinating , negotiating , launching , and managing Accuity s partner relationships .",managing,take;direct;handle;organise;look;control,manager;overseeing;implementing;management;coordinating;administering;manage;supporting;handling;maintaining
"A married woman retains ownership of any property she brought to the marriage , but the husband has the right to manage the property and to enjoy profits from the property .",manage,control;govern;organise,administer;manager;keep;maintain;lease;sell;management;retain;oversee;run
"We do not need to ask for your specific permission to do these things , as explained below : Treatment Partners health care providers will use and share your health information to provide and manage your health care and related services .",manage,conduct;direct;organise;coordinate;deal;control,administer;managed;managing;provide;use;request;offer;coordinate;management;receive
"According to a White House press release , al-Taqwa and its affiliates  raise , manage , invest , and distribute funds for al-Qaeda ; provide terrorist supporters with internet service and secure telephone communications ; and arrange for the shipment of weapons .",manage,take;handle;organise;coordinate;control,fund;distribute;invest;administer;direct;raise;organize;manages;maintain;finance
"That is , if the average person ( say this is 98 % of people ) amasses 10 things , if I manage to acquire 20 things then perhaps my account is not worth twice as much but maybe 10x or 100x as much as average .",manage,be;success;undertake;succeed,managed;need;get;seem;decide;want;strive;try;aim;attempt
There are different types of managed care systems .,managed,control;coordinate;administer,health;administrative;organized;paid;personal;child;aged;day;assisted;remembered
Saddam Hussein did nt manage to defeat the Iranians .,manage,succeed;be;success;contrive,seem;want;come;try;succeed;ack;able;look;know;get
"The M107 program is managed by the Project Manager Soldier Weapons with engineering support provided by PicatinnyÂs Armament Research , Development and Engineering Center .",managed,conduct;run;direct;coordinate;administer;control,administered;operated;run;overseen;manage;managed;provided;coordinated;controlled;monitored
